bucket_utc,listing_type,id,downloads
2026-08-22T20:00Z,mod,station-dots,2
2026-08-22T20:00Z,mod,subway-builder-performance,2
2026-08-22T20:00Z,mod,subwaybuilder-regions,1
2026-08-22T20:00Z,mod,track-anarchy,1
2026-08-22T20:00Z,mod,transit-overlay,2
2026-08-22T20:00Z,mod,valdotoriums-trains,1
2026-08-22T21:00Z,map,akron-oh,1
2026-08-22T21:00Z,map,albany,1
2026-08-22T21:00Z,map,anchorage-ak,1
2026-08-22T21:00Z,map,buffalo-ny,1
2026-08-22T21:00Z,map,charleston-huntington-wv,1
2026-08-22T21:00Z,map,charleston-sc,1
2026-08-22T21:00Z,map,colorado-ski-country,1
2026-08-22T21:00Z,map,connecticut-usa,1
2026-08-22T21:00Z,map,dayton-oh,1
2026-08-22T21:00Z,map,daytonatti,1
2026-08-22T21:00Z,map,jelegend-tokyo,1
2026-08-22T21:00Z,map,jerusalem,1
2026-08-22T21:00Z,map,johor-bahru,1
2026-08-22T21:00Z,map,lille,1
2026-08-22T21:00Z,map,louisville,1
2026-08-22T21:00Z,map,mfn-lasvegas,1
2026-08-22T21:00Z,map,mfn-madisonwi,1
2026-08-22T21:00Z,map,mfn-msy,1
2026-08-22T21:00Z,map,mfn-northwestar,1
2026-08-22T21:00Z,map,mfn-rdu,1
2026-08-22T21:00Z,map,nashville,1
2026-08-22T21:00Z,map,paris-ile-de-france,1
2026-08-22T21:00Z,map,piedmont-triad,1
2026-08-22T21:00Z,map,providence,1
2026-08-22T21:00Z,map,puebla,1
2026-08-22T21:00Z,map,pulau-pinang,1
2026-08-22T21:00Z,map,riyadh,1
2026-08-22T21:00Z,map,sacramento,1
2026-08-22T21:00Z,map,springfield-il,1
2026-08-22T21:00Z,map,strasbourg,1
2026-08-22T21:00Z,map,sydney,1
2026-08-22T21:00Z,map,syracuse-ny,1
2026-08-22T21:00Z,map,toledo-oh,1
2026-08-22T21:00Z,map,toronto,1
2026-08-22T21:00Z,map,vienna,1
2026-08-22T21:00Z,map,warsaw-val,1
2026-08-22T21:00Z,map,willamette-valley,1
2026-08-22T21:00Z,map,wilmington-nc,1
2026-08-22T21:00Z,map,yukina-asahikawa,1
2026-08-22T21:00Z,map,yukina-ee-tallinn,1
2026-08-22T21:00Z,map,yukina-fukuoka,1
2026-08-22T21:00Z,map,yukina-keihanshin,1
2026-08-22T21:00Z,map,yukina-osaka,1
2026-08-22T21:00Z,map,yukina-pl-legnica,1
2026-08-22T21:00Z,map,yukina-pl-warszawa,1
2026-08-22T21:00Z,map,yukina-pl-wroclaw,1
2026-08-22T21:00Z,map,yukina-tw-southern-taiwan,1
2026-08-22T21:00Z,map,yukina-tw-taipei,1
2026-08-22T21:00Z,map,zurich,1
2026-08-22T21:00Z,mod,any-money,1
2026-08-22T21:00Z,mod,auto-lines,2
2026-08-22T21:00Z,mod,basedgoat-trains,1
2026-08-22T21:00Z,mod,dantrains-abridged,2
2026-08-22T21:00Z,mod,distance-circles,2
2026-08-22T21:00Z,mod,game-speedup,2
2026-08-22T21:00Z,mod,improved-schematics,3
