rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,59,59,4011,4011,3952,3952,snapshot_2026_09_06.json,snapshot_2026_09_03.json
2,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,53,53,8004,8004,7951,7951,snapshot_2026_09_06.json,snapshot_2026_09_03.json
3,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,44,44,5307,5307,5263,5263,snapshot_2026_09_06.json,snapshot_2026_09_03.json
4,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,43,43,5871,5871,5828,5828,snapshot_2026_09_06.json,snapshot_2026_09_03.json
5,mod,subway-builder-performance,Subway Builder Performance,rexmhall09,rexmhall09,https://github.com/rexmhall09,40,40,1122,1122,1082,1082,snapshot_2026_09_06.json,snapshot_2026_09_03.json
6,map,vienna,Vienna,Rmerr1,Rmerr1,https://github.com/Rmerr1,40,40,439,439,399,399,snapshot_2026_09_06.json,snapshot_2026_09_03.json
7,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,38,38,5255,5255,5217,5217,snapshot_2026_09_06.json,snapshot_2026_09_03.json
8,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,36,36,1323,1323,1287,1287,snapshot_2026_09_06.json,snapshot_2026_09_03.json
9,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,35,35,2441,2441,2406,2406,snapshot_2026_09_06.json,snapshot_2026_09_03.json
10,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,29,29,2842,2842,2813,2813,snapshot_2026_09_06.json,snapshot_2026_09_03.json
11,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,29,29,2121,2121,2092,2092,snapshot_2026_09_06.json,snapshot_2026_09_03.json
12,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,29,1596,1596,1567,1567,snapshot_2026_09_06.json,snapshot_2026_09_03.json
13,mod,dantrains-abridged,Dan Trains Abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,29,29,715,715,686,686,snapshot_2026_09_06.json,snapshot_2026_09_03.json
14,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,27,27,3249,3249,3222,3222,snapshot_2026_09_06.json,snapshot_2026_09_03.json
15,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,23,23,2269,2269,2246,2246,snapshot_2026_09_06.json,snapshot_2026_09_03.json
16,mod,madrid-transit-pack,Madrid Transit Pack,xoaninc,xoaninc,https://github.com/xoaninc,23,23,147,147,124,124,snapshot_2026_09_06.json,snapshot_2026_09_03.json
17,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,22,22,3735,3735,3713,3713,snapshot_2026_09_06.json,snapshot_2026_09_03.json
18,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,22,22,2471,2471,2449,2449,snapshot_2026_09_06.json,snapshot_2026_09_03.json
19,map,hamburg,Hamburg,pierreggt,pierreggt,https://github.com/pierreggt,21,21,104,104,83,83,snapshot_2026_09_06.json,snapshot_2026_09_03.json
20,map,bonn-koeln,Bonn-Köln,pierreggt,pierreggt,https://github.com/pierreggt,21,21,88,88,67,67,snapshot_2026_09_06.json,snapshot_2026_09_03.json
21,map,montreal,Montreal,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,20,20,2263,2263,2243,2243,snapshot_2026_09_06.json,snapshot_2026_09_03.json
22,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,20,20,1812,1812,1792,1792,snapshot_2026_09_06.json,snapshot_2026_09_03.json
23,map,rhein-main-neckar,Frankfurt (Rhein-Main-Neckar),pierreggt,pierreggt,https://github.com/pierreggt,20,20,113,113,93,93,snapshot_2026_09_06.json,snapshot_2026_09_03.json
24,map,yukina-lt-vilnius,Vilnius,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,19,19,480,480,461,461,snapshot_2026_09_06.json,snapshot_2026_09_03.json
25,mod,penguin-approved-rolling-stock,Penguin-Approved Rolling Stock,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,19,19,201,201,182,182,snapshot_2026_09_06.json,snapshot_2026_09_03.json
26,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,18,18,2454,2454,2436,2436,snapshot_2026_09_06.json,snapshot_2026_09_03.json
27,mod,missed-connections,Missed Connections,rslurry,slurry,https://github.com/rslurry,18,18,1837,1837,1819,1819,snapshot_2026_09_06.json,snapshot_2026_09_03.json
28,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,18,18,1675,1675,1657,1657,snapshot_2026_09_06.json,snapshot_2026_09_03.json
29,map,muenchen,München,pierreggt,pierreggt,https://github.com/pierreggt,18,18,104,104,86,86,snapshot_2026_09_06.json,snapshot_2026_09_03.json
30,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,17,17,3164,3164,3147,3147,snapshot_2026_09_06.json,snapshot_2026_09_03.json
31,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,17,17,757,757,740,740,snapshot_2026_09_06.json,snapshot_2026_09_03.json
32,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,16,16,3663,3663,3647,3647,snapshot_2026_09_06.json,snapshot_2026_09_03.json
33,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,16,16,2099,2099,2083,2083,snapshot_2026_09_06.json,snapshot_2026_09_03.json
34,map,vancouver,Vancouver,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,16,16,1908,1908,1892,1892,snapshot_2026_09_06.json,snapshot_2026_09_03.json
35,map,ruhrgebiet,Ruhrgebiet,pierreggt,pierreggt,https://github.com/pierreggt,16,16,90,90,74,74,snapshot_2026_09_06.json,snapshot_2026_09_03.json
36,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,15,15,3003,3003,2988,2988,snapshot_2026_09_06.json,snapshot_2026_09_03.json
37,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,15,15,1595,1595,1580,1580,snapshot_2026_09_06.json,snapshot_2026_09_03.json
38,map,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,15,15,355,355,340,340,snapshot_2026_09_06.json,snapshot_2026_09_03.json
39,map,yukina-lt-klaipeda,Klaipėda,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,15,15,176,176,161,161,snapshot_2026_09_06.json,snapshot_2026_09_03.json
40,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,14,14,2422,2422,2408,2408,snapshot_2026_09_06.json,snapshot_2026_09_03.json
41,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,14,14,1772,1772,1758,1758,snapshot_2026_09_06.json,snapshot_2026_09_03.json
42,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,14,14,461,461,447,447,snapshot_2026_09_06.json,snapshot_2026_09_03.json
43,map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,14,14,337,337,323,323,snapshot_2026_09_06.json,snapshot_2026_09_03.json
44,map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,14,14,306,306,292,292,snapshot_2026_09_06.json,snapshot_2026_09_03.json
45,map,yukina-cz-karlovy-vary,Karlovy Vary,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,14,14,197,197,183,183,snapshot_2026_09_06.json,snapshot_2026_09_03.json
46,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,2834,2834,2821,2821,snapshot_2026_09_06.json,snapshot_2026_09_03.json
47,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,13,13,2512,2512,2499,2499,snapshot_2026_09_06.json,snapshot_2026_09_03.json
48,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,13,13,1869,1869,1856,1856,snapshot_2026_09_06.json,snapshot_2026_09_03.json
49,map,paris-ile-de-france,Paris - Ile de France,pierreggt,pierreggt,https://github.com/pierreggt,13,13,1495,1495,1482,1482,snapshot_2026_09_06.json,snapshot_2026_09_03.json
50,map,yukina-cz-olomouc,Olomouc,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,304,304,291,291,snapshot_2026_09_06.json,snapshot_2026_09_03.json
51,map,yukina-lt-kaunas,Kaunas,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,271,271,258,258,snapshot_2026_09_06.json,snapshot_2026_09_03.json
52,mod,basedgoat-trains,BasedGoat Trains,arniber21,arniber21,https://github.com/arniber21,13,13,238,238,225,225,snapshot_2026_09_06.json,snapshot_2026_09_03.json
53,map,yukina-cz-ceske-budejovice,České Budějovice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,229,229,216,216,snapshot_2026_09_06.json,snapshot_2026_09_03.json
54,map,yukina-cz-liberec-jablonec,Liberec - Jablonec nad Nisou,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,229,229,216,216,snapshot_2026_09_06.json,snapshot_2026_09_03.json
55,map,yukina-cz-jihlava,Jihlava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,176,176,163,163,snapshot_2026_09_06.json,snapshot_2026_09_03.json
56,map,yukina-cz-zlin,Zlín,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,174,174,161,161,snapshot_2026_09_06.json,snapshot_2026_09_03.json
