rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,312,313,10739,10736,10427,10423,snapshot_2026_08_01.json,snapshot_2026_07_31.json
2,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,89,88,1,308,308,27329,27329,27021,27021,snapshot_2026_08_01.json,snapshot_2026_07_31.json
3,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,197,203,10207,10199,10010,9996,snapshot_2026_08_01.json,snapshot_2026_07_31.json
4,rslurry,slurry,https://github.com/rslurry,35,33,2,151,151,18737,18737,18586,18586,snapshot_2026_08_01.json,snapshot_2026_07_31.json
5,martig7,martig7,https://github.com/martig7,2,0,2,143,143,6856,6856,6713,6713,snapshot_2026_08_01.json,snapshot_2026_07_31.json
6,Kronifer,Kronifer,https://github.com/Kronifer,9,9,0,122,123,8139,8136,8017,8013,snapshot_2026_08_01.json,snapshot_2026_07_31.json
7,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,115,115,11578,11578,11463,11463,snapshot_2026_08_01.json,snapshot_2026_07_31.json
8,BarKuperman,BarKuperman,https://github.com/BarKuperman,4,2,2,106,107,5810,5808,5704,5701,snapshot_2026_08_01.json,snapshot_2026_07_31.json
9,Maximilian284,max02,https://github.com/Maximilian284,19,19,0,81,81,7661,7661,7580,7580,snapshot_2026_08_01.json,snapshot_2026_07_31.json
10,pierreggt,pierreggt,https://github.com/pierreggt,14,14,0,80,80,2124,2124,2044,2044,snapshot_2026_08_01.json,snapshot_2026_07_31.json
11,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,80,80,1220,1220,1140,1140,snapshot_2026_08_01.json,snapshot_2026_07_31.json
12,devenperez,devenperez,https://github.com/devenperez,8,8,0,74,74,9054,9054,8980,8980,snapshot_2026_08_01.json,snapshot_2026_07_31.json
13,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,71,71,5024,5024,4953,4953,snapshot_2026_08_01.json,snapshot_2026_07_31.json
14,IMB11,IMB11,https://github.com/IMB11,2,0,2,68,68,1079,1079,1011,1011,snapshot_2026_08_01.json,snapshot_2026_07_31.json
15,nzh0172,naz,https://github.com/nzh0172,8,5,3,56,58,5565,5560,5509,5502,snapshot_2026_08_01.json,snapshot_2026_07_31.json
16,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,52,52,3693,3693,3641,3641,snapshot_2026_08_01.json,snapshot_2026_07_31.json
17,pendulating,pendulating,https://github.com/pendulating,1,0,1,52,52,767,767,715,715,snapshot_2026_08_01.json,snapshot_2026_07_31.json
18,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,28,28,3084,3084,3056,3056,snapshot_2026_08_01.json,snapshot_2026_07_31.json
19,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,25,34,2887,2862,2862,2828,snapshot_2026_08_01.json,snapshot_2026_07_31.json
20,kimth9,kimth9,https://github.com/kimth9,20,19,1,24,24,7929,7929,7905,7905,snapshot_2026_08_01.json,snapshot_2026_07_31.json
21,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,23,23,1561,1561,1538,1538,snapshot_2026_08_01.json,snapshot_2026_07_31.json
22,jelegend,jelegend,https://github.com/jelegend,1,1,0,22,22,3294,3294,3272,3272,snapshot_2026_08_01.json,snapshot_2026_07_31.json
23,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,21,21,2259,2259,2238,2238,snapshot_2026_08_01.json,snapshot_2026_07_31.json
24,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,1,0,21,21,673,673,652,652,snapshot_2026_08_01.json,snapshot_2026_07_31.json
25,DanielD1909,DanielD1909,https://github.com/DanielD1909,3,1,2,20,22,2768,2768,2748,2746,snapshot_2026_08_01.json,snapshot_2026_07_31.json
26,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,17,17,1303,1303,1286,1286,snapshot_2026_08_01.json,snapshot_2026_07_31.json
27,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,11,11,2464,2464,2453,2453,snapshot_2026_08_01.json,snapshot_2026_07_31.json
28,hernang87,hernang87,https://github.com/hernang87,1,1,0,7,7,81,81,74,74,snapshot_2026_08_01.json,snapshot_2026_07_31.json
29,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,5,5,760,760,755,755,snapshot_2026_08_01.json,snapshot_2026_07_31.json
30,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,4,4,296,296,292,292,snapshot_2026_08_01.json,snapshot_2026_07_31.json
31,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,4,4,273,273,269,269,snapshot_2026_08_01.json,snapshot_2026_07_31.json
32,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,2,4,1097,1097,1095,1093,snapshot_2026_08_01.json,snapshot_2026_07_31.json
33,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,2,2,192,192,190,190,snapshot_2026_08_01.json,snapshot_2026_07_31.json
34,giannons46,giannons46,https://github.com/giannons46,1,1,0,2,2,100,100,98,98,snapshot_2026_08_01.json,snapshot_2026_07_31.json
35,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,1,1,296,296,295,295,snapshot_2026_08_01.json,snapshot_2026_07_31.json
36,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,0,7,1843,1830,1843,1823,snapshot_2026_08_01.json,snapshot_2026_07_31.json
