rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,subway-builder-performance,Subway Builder Performance,rexmhall09,rexmhall09,https://github.com/rexmhall09,278,278,1122,1122,844,844,snapshot_2026_09_26.json,snapshot_2026_08_27.json
2,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,276,276,4011,4011,3735,3735,snapshot_2026_09_26.json,snapshot_2026_08_27.json
3,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,270,270,8004,8004,7734,7734,snapshot_2026_09_26.json,snapshot_2026_08_27.json
4,map,vienna,Vienna,Rmerr1,Rmerr1,https://github.com/Rmerr1,268,268,439,439,171,171,snapshot_2026_09_26.json,snapshot_2026_08_27.json
5,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,256,256,5307,5307,5051,5051,snapshot_2026_09_26.json,snapshot_2026_08_27.json
6,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,245,245,5871,5871,5626,5626,snapshot_2026_09_26.json,snapshot_2026_08_27.json
7,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,218,218,1323,1323,1105,1105,snapshot_2026_09_26.json,snapshot_2026_08_27.json
8,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,203,203,5255,5255,5052,5052,snapshot_2026_09_26.json,snapshot_2026_08_27.json
9,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,195,195,2441,2441,2246,2246,snapshot_2026_09_26.json,snapshot_2026_08_27.json
10,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,175,175,2121,2121,1946,1946,snapshot_2026_09_26.json,snapshot_2026_08_27.json
11,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,157,157,3735,3735,3578,3578,snapshot_2026_09_26.json,snapshot_2026_08_27.json
12,mod,dantrains-abridged,Dan Trains Abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,153,153,715,715,562,562,snapshot_2026_09_26.json,snapshot_2026_08_27.json
13,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,127,127,2842,2842,2715,2715,snapshot_2026_09_26.json,snapshot_2026_08_27.json
14,map,yukina-lt-vilnius,Vilnius,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,125,125,480,480,355,355,snapshot_2026_09_26.json,snapshot_2026_08_27.json
15,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,124,124,3164,3164,3040,3040,snapshot_2026_09_26.json,snapshot_2026_08_27.json
16,map,rhein-main-neckar,Frankfurt (Rhein-Main-Neckar),pierreggt,pierreggt,https://github.com/pierreggt,113,113,113,113,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json
