rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,975,975,13888,13888,12913,12913,snapshot_2026_08_22.json,snapshot_2026_08_08.json
2,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,862,862,3522,3522,2660,2660,snapshot_2026_08_22.json,snapshot_2026_08_08.json
3,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,754,754,4856,4856,4102,4102,snapshot_2026_08_22.json,snapshot_2026_08_08.json
4,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,619,619,7541,7541,6922,6922,snapshot_2026_08_22.json,snapshot_2026_08_08.json
5,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,565,565,4863,4863,4298,4298,snapshot_2026_08_22.json,snapshot_2026_08_08.json
6,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,498,498,5448,5448,4950,4950,snapshot_2026_08_22.json,snapshot_2026_08_08.json
7,mod,missed-connections,Missed Connections,rslurry,slurry,https://github.com/rslurry,484,484,1633,1633,1149,1149,snapshot_2026_08_22.json,snapshot_2026_08_08.json
8,map,paris-ile-de-france,Paris,pierreggt,pierreggt,https://github.com/pierreggt,423,423,1329,1329,906,906,snapshot_2026_08_22.json,snapshot_2026_08_08.json
9,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,416,416,1823,1823,1407,1407,snapshot_2026_08_22.json,snapshot_2026_08_08.json
10,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,392,392,1844,1844,1452,1452,snapshot_2026_08_22.json,snapshot_2026_08_08.json
11,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,391,391,2603,2603,2212,2212,snapshot_2026_08_22.json,snapshot_2026_08_08.json
12,map,yukina-keihanshin,京阪神 (Keihanshin),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,353,353,1045,1045,692,692,snapshot_2026_08_22.json,snapshot_2026_08_08.json
13,map,yukina-tokyo,東京 (Tōkyō),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,343,343,508,508,165,165,snapshot_2026_08_22.json,snapshot_2026_08_08.json
14,mod,subway-builder-performance,Subway Builder Performance,rexmhall09,rexmhall09,https://github.com/rexmhall09,320,320,671,671,351,351,snapshot_2026_08_22.json,snapshot_2026_08_08.json
15,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,316,316,1333,1333,1017,1017,snapshot_2026_08_22.json,snapshot_2026_08_08.json
16,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,311,311,1539,1539,1228,1228,snapshot_2026_08_22.json,snapshot_2026_08_08.json
17,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,292,292,3448,3448,3156,3156,snapshot_2026_08_22.json,snapshot_2026_08_08.json
18,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,284,284,1058,1058,774,774,snapshot_2026_08_22.json,snapshot_2026_08_08.json
19,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,269,269,1055,1055,786,786,snapshot_2026_08_22.json,snapshot_2026_08_08.json
20,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,264,264,875,875,611,611,snapshot_2026_08_22.json,snapshot_2026_08_08.json
21,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,255,255,2060,2060,1805,1805,snapshot_2026_08_22.json,snapshot_2026_08_08.json
22,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,242,242,2278,2278,2036,2036,snapshot_2026_08_22.json,snapshot_2026_08_08.json
23,map,seoul,Seoul,cromstar,cromstar,https://github.com/cromstar,241,241,241,241,0,0,snapshot_2026_08_22.json,snapshot_2026_08_08.json
24,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,233,233,867,867,634,634,snapshot_2026_08_22.json,snapshot_2026_08_08.json
25,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,226,226,1060,1060,834,834,snapshot_2026_08_22.json,snapshot_2026_08_08.json
26,map,yukina-kobe-akashi,神戸・姫路 (Kōbe & Himeji),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,221,221,776,776,555,555,snapshot_2026_08_22.json,snapshot_2026_08_08.json
27,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,220,220,806,806,586,586,snapshot_2026_08_22.json,snapshot_2026_08_08.json
28,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,217,217,662,662,445,445,snapshot_2026_08_22.json,snapshot_2026_08_08.json
29,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,215,215,1596,1596,1381,1381,snapshot_2026_08_22.json,snapshot_2026_08_08.json
30,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,213,213,2627,2627,2414,2414,snapshot_2026_08_22.json,snapshot_2026_08_08.json
31,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,207,207,3461,3461,3254,3254,snapshot_2026_08_22.json,snapshot_2026_08_08.json
32,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,207,207,2947,2947,2740,2740,snapshot_2026_08_22.json,snapshot_2026_08_08.json
33,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,204,204,3056,3056,2852,2852,snapshot_2026_08_22.json,snapshot_2026_08_08.json
34,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,204,204,1122,1122,918,918,snapshot_2026_08_22.json,snapshot_2026_08_08.json
35,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,202,202,921,921,719,719,snapshot_2026_08_22.json,snapshot_2026_08_08.json
36,map,yukina-lv-riga,Rīga,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,199,199,686,686,487,487,snapshot_2026_08_22.json,snapshot_2026_08_08.json
37,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,197,197,636,636,439,439,snapshot_2026_08_22.json,snapshot_2026_08_08.json
38,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,188,188,943,943,755,755,snapshot_2026_08_22.json,snapshot_2026_08_08.json
39,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,182,182,1300,1300,1118,1118,snapshot_2026_08_22.json,snapshot_2026_08_08.json
40,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,181,181,2273,2273,2092,2092,snapshot_2026_08_22.json,snapshot_2026_08_08.json
