rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,59,7209,7209,18259,18259,11050,11050,snapshot_2026_09_13.json,snapshot_2026_08_14.json
2,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,5554,5554,22282,22282,16728,16728,snapshot_2026_09_13.json,snapshot_2026_08_14.json
3,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,1677,1677,3840,3840,2163,2163,snapshot_2026_09_13.json,snapshot_2026_08_14.json
4,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,1335,1335,4482,4482,3147,3147,snapshot_2026_09_13.json,snapshot_2026_08_14.json
5,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,6,1144,1144,6319,6319,5175,5175,snapshot_2026_09_13.json,snapshot_2026_08_14.json
6,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,1012,1012,19792,19792,18780,18780,snapshot_2026_09_13.json,snapshot_2026_08_14.json
7,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,955,955,955,955,0,0,snapshot_2026_09_13.json,snapshot_2026_08_14.json
8,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,903,903,10842,10842,9939,9939,snapshot_2026_09_13.json,snapshot_2026_08_14.json
9,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,793,793,4011,4011,3218,3218,snapshot_2026_09_13.json,snapshot_2026_08_14.json
10,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,778,778,14278,14278,13500,13500,snapshot_2026_09_13.json,snapshot_2026_08_14.json
11,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,710,710,8004,8004,7294,7294,snapshot_2026_09_13.json,snapshot_2026_08_14.json
12,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,686,686,5307,5307,4621,4621,snapshot_2026_09_13.json,snapshot_2026_08_14.json
13,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,652,652,5255,5255,4603,4603,snapshot_2026_09_13.json,snapshot_2026_08_14.json
14,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,652,652,2306,2306,1654,1654,snapshot_2026_09_13.json,snapshot_2026_08_14.json
15,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,646,646,5871,5871,5225,5225,snapshot_2026_09_13.json,snapshot_2026_08_14.json
16,pierreggt/subwaybuilder-maps,subwaybuilder-maps,pierreggt,pierreggt,https://github.com/pierreggt,16,638,638,638,638,0,0,snapshot_2026_09_13.json,snapshot_2026_08_14.json
17,roquerodrigo/subway-builder-auto-lines,subway-builder-auto-lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,623,623,1323,1323,700,700,snapshot_2026_09_13.json,snapshot_2026_08_14.json
18,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,574,574,5097,5097,4523,4523,snapshot_2026_09_13.json,snapshot_2026_08_14.json
19,rexmhall09/subway-builder-performance-mod,Subway-Builder-Performance-Mod,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,552,552,1122,1122,570,570,snapshot_2026_09_13.json,snapshot_2026_08_14.json
20,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,501,501,4749,4749,4248,4248,snapshot_2026_09_13.json,snapshot_2026_08_14.json
21,pendulating/neighborhood-station-names,neighborhood-station-names,pendulating,pendulating,https://github.com/pendulating,1,477,477,2121,2121,1644,1644,snapshot_2026_09_13.json,snapshot_2026_08_14.json
22,rmerr1/sb-vienna-map,sb-vienna-map,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,439,439,439,439,0,0,snapshot_2026_09_13.json,snapshot_2026_08_14.json
23,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,419,419,3735,3735,3316,3316,snapshot_2026_09_13.json,snapshot_2026_08_14.json
24,danield1909/dantrains-abridged,dantrains-abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,346,346,715,715,369,369,snapshot_2026_09_13.json,snapshot_2026_08_14.json
25,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,342,342,4372,4372,4030,4030,snapshot_2026_09_13.json,snapshot_2026_08_14.json
26,rslurry/subwaybuilder-missedconnections,subwaybuilder-missedConnections,rslurry,slurry,https://github.com/rslurry,1,337,337,1837,1837,1500,1500,snapshot_2026_09_13.json,snapshot_2026_08_14.json
27,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,317,317,4772,4772,4455,4455,snapshot_2026_09_13.json,snapshot_2026_08_14.json
28,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,316,316,2842,2842,2526,2526,snapshot_2026_09_13.json,snapshot_2026_08_14.json
29,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,311,311,3164,3164,2853,2853,snapshot_2026_09_13.json,snapshot_2026_08_14.json
30,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,311,311,2471,2471,2160,2160,snapshot_2026_09_13.json,snapshot_2026_08_14.json
31,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,310,310,2269,2269,1959,1959,snapshot_2026_09_13.json,snapshot_2026_08_14.json
32,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,308,308,3663,3663,3355,3355,snapshot_2026_09_13.json,snapshot_2026_08_14.json
33,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,267,267,1812,1812,1545,1545,snapshot_2026_09_13.json,snapshot_2026_08_14.json
34,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,243,243,8108,8108,7865,7865,snapshot_2026_09_13.json,snapshot_2026_08_14.json
35,seanyushoumori/scrollable-dropdowns,scrollable-dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,224,224,1675,1675,1451,1451,snapshot_2026_09_13.json,snapshot_2026_08_14.json
36,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,220,220,3754,3754,3534,3534,snapshot_2026_09_13.json,snapshot_2026_08_14.json
37,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,217,217,2512,2512,2295,2295,snapshot_2026_09_13.json,snapshot_2026_08_14.json
38,prodigious-penguin/penguin-approved-rolling-stock,Penguin-Approved-Rolling-Stock,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,201,201,201,201,0,0,snapshot_2026_09_13.json,snapshot_2026_08_14.json
39,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,192,192,3003,3003,2811,2811,snapshot_2026_09_13.json,snapshot_2026_08_14.json
40,cromstar/subwaybuilder-seoul-map,subwaybuilder-seoul-map,cromstar,cromstar,https://github.com/cromstar,1,191,191,348,348,157,157,snapshot_2026_09_13.json,snapshot_2026_08_14.json
41,danielloong714/intercity-hsr-trains,intercity-hsr-trains,danielloong714,danielloong714,https://github.com/danielloong714,1,176,176,176,176,0,0,snapshot_2026_09_13.json,snapshot_2026_08_14.json
42,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,174,174,2422,2422,2248,2248,snapshot_2026_09_13.json,snapshot_2026_08_14.json
43,arniber21/dantrains-abridged,dantrains-abridged,arniber21,arniber21,https://github.com/arniber21,1,174,174,238,238,64,64,snapshot_2026_09_13.json,snapshot_2026_08_14.json
44,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,159,159,2759,2759,2600,2600,snapshot_2026_09_13.json,snapshot_2026_08_14.json
45,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,158,158,2576,2576,2418,2418,snapshot_2026_09_13.json,snapshot_2026_08_14.json
46,roquerodrigo/subway-builder-map-markers,subway-builder-map-markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,157,157,1138,1138,981,981,snapshot_2026_09_13.json,snapshot_2026_08_14.json
47,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,149,149,1869,1869,1720,1720,snapshot_2026_09_13.json,snapshot_2026_08_14.json
48,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,135,135,985,985,850,850,snapshot_2026_09_13.json,snapshot_2026_08_14.json
49,pierreggt/subway-builder-istanbul,subway-builder-istanbul,pierreggt,pierreggt,https://github.com/pierreggt,1,128,128,474,474,346,346,snapshot_2026_09_13.json,snapshot_2026_08_14.json
50,kaicardenas0618/lrt-trains,lrt-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,125,125,1113,1113,988,988,snapshot_2026_09_13.json,snapshot_2026_08_14.json
51,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,121,121,1334,1334,1213,1213,snapshot_2026_09_13.json,snapshot_2026_08_14.json
52,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,119,119,703,703,584,584,snapshot_2026_09_13.json,snapshot_2026_08_14.json
53,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,113,113,2163,2163,2050,2050,snapshot_2026_09_13.json,snapshot_2026_08_14.json
54,nerdiesanders/subway-builder-gchi,subway-builder-gchi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,110,110,976,976,866,866,snapshot_2026_09_13.json,snapshot_2026_08_14.json
55,pswbsf/charleston-huntington-wv,charleston-huntington-wv,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,107,107,269,269,162,162,snapshot_2026_09_13.json,snapshot_2026_08_14.json
56,seanyushoumori/train-anarchy,train-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,94,94,371,371,277,277,snapshot_2026_09_13.json,snapshot_2026_08_14.json
57,xoaninc/madrid-transit-pack,madrid-transit-pack,xoaninc,xoaninc,https://github.com/xoaninc,1,91,91,147,147,56,56,snapshot_2026_09_13.json,snapshot_2026_08_14.json
58,danield1909/pathfinding-realism-mod,Pathfinding-Realism-Mod,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,90,90,268,268,178,178,snapshot_2026_09_13.json,snapshot_2026_08_14.json
59,transitcore/satellite-overview,Satellite-Overview,TransitCore,TransitCore,https://github.com/TransitCore,1,85,85,880,880,795,795,snapshot_2026_09_13.json,snapshot_2026_08_14.json
60,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,71,71,245,245,174,174,snapshot_2026_09_13.json,snapshot_2026_08_14.json
61,tesarzh/railyard,railyard,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,67,67,236,236,169,169,snapshot_2026_09_13.json,snapshot_2026_08_14.json
62,crumpetime/sb-maps-msy,sb-maps-msy,crumpetime,muffintime,https://github.com/crumpetime,1,66,66,254,254,188,188,snapshot_2026_09_13.json,snapshot_2026_08_14.json
63,jcpires/subway-builder-idf,subway-builder-idf,JcPires,JcPires,https://github.com/JcPires,1,64,64,91,91,27,27,snapshot_2026_09_13.json,snapshot_2026_08_14.json
64,bquelhas/subwaybuilder-map-opo,subwaybuilder-map-opo,bquelhas,bquelhas,https://github.com/bquelhas,1,62,62,871,871,809,809,snapshot_2026_09_13.json,snapshot_2026_08_14.json
65,m4d5hr1mp/sb-mods,SB-Mods,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,61,61,290,290,229,229,snapshot_2026_09_13.json,snapshot_2026_08_14.json
