rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
215,map,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,95,95,snapshot_2026_07_27.json
216,map,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,94,94,snapshot_2026_07_27.json
217,map,tri-cities,Tri-Cities,ryandicicco,ryandicicco,https://github.com/ryandicicco,92,92,snapshot_2026_07_27.json
218,map,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,92,92,snapshot_2026_07_27.json
219,map,yukina-asahikawa,旭川 (Asahikawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,90,90,snapshot_2026_07_27.json
220,map,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,90,90,snapshot_2026_07_27.json
221,map,marseille,Marseille,pierreggt,pierreggt,https://github.com/pierreggt,88,88,snapshot_2026_07_27.json
222,map,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,86,86,snapshot_2026_07_27.json
223,map,yukina-nakadoori,中通り (Nakadōri),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,85,85,snapshot_2026_07_27.json
224,map,daejeon-3,Daejeon (30km×30km),kimth9,kimth9,https://github.com/kimth9,83,83,snapshot_2026_07_27.json
225,mod,hide-and-seek,Hide+Seek: The Mod [beta],nzh0172,naz,https://github.com/nzh0172,83,83,snapshot_2026_07_27.json
226,map,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,82,82,snapshot_2026_07_27.json
227,map,yukina-ee-parnu,Pärnu,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,82,82,snapshot_2026_07_27.json
228,map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,81,81,snapshot_2026_07_27.json
229,map,yukina-cz-liberec-jablonec,Liberec - Jablonec nad Nisou,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,80,80,snapshot_2026_07_27.json
230,map,daejeon-4,Daejeon (40km×40km),kimth9,kimth9,https://github.com/kimth9,78,78,snapshot_2026_07_27.json
231,map,montpellier-mediterranee,Montpellier,pierreggt,pierreggt,https://github.com/pierreggt,78,78,snapshot_2026_07_27.json
232,map,sofia-bulgaria,Sofia,giannons46,giannons46,https://github.com/giannons46,78,78,snapshot_2026_07_27.json
233,map,yukina-cz-ceske-budejovice,České Budějovice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,77,77,snapshot_2026_07_27.json
234,map,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,74,74,snapshot_2026_07_27.json
235,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,74,74,snapshot_2026_07_27.json
236,map,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,73,73,snapshot_2026_07_27.json
237,map,mexicali,Mexicali-Imperial Valley-Yuma,rslurry,slurry,https://github.com/rslurry,72,72,snapshot_2026_07_27.json
238,map,yukina-ua-kharkiv,Харків / Kharkiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,72,72,snapshot_2026_07_27.json
239,map,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,70,70,snapshot_2026_07_27.json
240,map,yukina-pl-rzeszow,Rzeszów,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,70,70,snapshot_2026_07_27.json
241,map,yukina-ua-lviv,Львів / Lviv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,68,68,snapshot_2026_07_27.json
242,map,yukina-ua-odesa,Одеса / Odesa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,68,68,snapshot_2026_07_27.json
243,map,lille,Lille,pierreggt,pierreggt,https://github.com/pierreggt,67,67,snapshot_2026_07_27.json
244,map,strasbourg,Strasbourg,pierreggt,pierreggt,https://github.com/pierreggt,66,66,snapshot_2026_07_27.json
245,map,yukina-ee-tartu,Tartu,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,65,65,snapshot_2026_07_27.json
246,map,yukina-lv-daugavpils,Daugavpils,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,65,65,snapshot_2026_07_27.json
247,map,toulouse,Toulouse,pierreggt,pierreggt,https://github.com/pierreggt,64,64,snapshot_2026_07_27.json
248,map,amba,Buenos Aires,hernang87,hernang87,https://github.com/hernang87,63,63,snapshot_2026_07_27.json
249,map,kristiansand-no,Kristiansand,rslurry,slurry,https://github.com/rslurry,61,61,snapshot_2026_07_27.json
250,map,yukina-ua-dnipro,Дніпро / Dnipro,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,60,60,snapshot_2026_07_27.json
251,map,gwangju-3,Gwangju (30km×30km),kimth9,kimth9,https://github.com/kimth9,59,59,snapshot_2026_07_27.json
252,map,syracuse-ny,"Syracuse, NY",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,58,58,snapshot_2026_07_27.json
253,map,rennes,Rennes,pierreggt,pierreggt,https://github.com/pierreggt,57,57,snapshot_2026_07_27.json
254,map,yukina-ee-ida-viru,Ida-Viru,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,55,55,snapshot_2026_07_27.json
255,map,yukina-cz-karlovy-vary,Karlovy Vary,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,53,53,snapshot_2026_07_27.json
256,map,yukina-lv-liepaja,Liepāja,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,52,52,snapshot_2026_07_27.json
257,map,yukina-lt-kaunas,Kaunas,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,50,50,snapshot_2026_07_27.json
258,map,yukina-pl-kielce,Kielce,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,50,50,snapshot_2026_07_27.json
259,map,yukina-kumamoto,熊本 (Kumamoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,49,49,snapshot_2026_07_27.json
260,map,toledo-oh,Toledo,bean1322,bean1322,https://github.com/bean1322,45,45,snapshot_2026_07_27.json
261,map,akron-oh,"Akron, OH",bean1322,bean1322,https://github.com/bean1322,44,44,snapshot_2026_07_27.json
262,map,cusco,Cusco,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,44,44,snapshot_2026_07_27.json
263,map,nantes,Nantes,pierreggt,pierreggt,https://github.com/pierreggt,42,42,snapshot_2026_07_27.json
264,map,palma-de-mallorca,Palma de Mallorca,Maximilian284,max02,https://github.com/Maximilian284,42,42,snapshot_2026_07_27.json
265,map,arequipa,Arequipa,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,41,41,snapshot_2026_07_27.json
266,map,yukina-pl-olsztyn,Olsztyn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,41,41,snapshot_2026_07_27.json
267,map,yukina-pl-zielona-gora,Zielona Góra,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,40,40,snapshot_2026_07_27.json
268,map,yukina-ua-kryvyi-rih,Кривий Ріг / Kryvyi Rih,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,38,38,snapshot_2026_07_27.json
269,map,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,37,37,snapshot_2026_07_27.json
270,map,yukina-pl-radom,Radom,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,37,37,snapshot_2026_07_27.json
271,map,mfn-rsw,Fort Myers,crumpetime,muffintime,https://github.com/crumpetime,36,36,snapshot_2026_07_27.json
272,map,yukina-morioka,盛岡 (Morioka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,35,35,snapshot_2026_07_27.json
273,map,yukina-pl-czestochowa,Częstochowa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,35,35,snapshot_2026_07_27.json
274,map,yukina-tottori,鳥取 (Tottori),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,35,35,snapshot_2026_07_27.json
275,map,ankara,Ankara,pierreggt,pierreggt,https://github.com/pierreggt,34,34,snapshot_2026_07_27.json
276,map,yukina-cz-jihlava,Jihlava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,34,34,snapshot_2026_07_27.json
277,map,yukina-cz-zlin,Zlín,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,33,33,snapshot_2026_07_27.json
278,map,jeju-4,Jeju (40km×40km),kimth9,kimth9,https://github.com/kimth9,32,32,snapshot_2026_07_27.json
279,map,yukina-ua-zaporizhzhia,Запоріжжя / Zaporizhzhia,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,31,31,snapshot_2026_07_27.json
280,map,yukina-pl-opole,Opole,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,30,30,snapshot_2026_07_27.json
281,map,trujillo,Trujillo,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,25,25,snapshot_2026_07_27.json
282,mod,imb11-subwaycine,SubwayCine,IMB11,IMB11,https://github.com/IMB11,24,24,snapshot_2026_07_27.json
283,map,ipoh,Ipoh,nzh0172,naz,https://github.com/nzh0172,24,24,snapshot_2026_07_27.json
284,map,piura,Piura,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,24,24,snapshot_2026_07_27.json
285,map,chiclayo,Chiclayo,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,23,23,snapshot_2026_07_27.json
286,map,yukina-pl-central-pomerania,Pomorze Środkowe,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,23,23,snapshot_2026_07_27.json
287,map,antalya,Antalya,pierreggt,pierreggt,https://github.com/pierreggt,22,22,snapshot_2026_07_27.json
288,map,yukina-pl-legnica,Legnica - LGOM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,22,22,snapshot_2026_07_27.json
289,map,iquitos,Iquitos,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,21,21,snapshot_2026_07_27.json
290,map,yukina-lt-klaipeda,Klaipėda,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,21,21,snapshot_2026_07_27.json
291,map,chimbote,Chimbote,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,20,20,snapshot_2026_07_27.json
292,map,yukina-pl-plock-wloclawek,Płock - Włocławek,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,20,20,snapshot_2026_07_27.json
293,map,huancayo-jauja,Huancayo/Jauja,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,19,19,snapshot_2026_07_27.json
294,map,yukina-lt-panevezys,Panevėžys,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,snapshot_2026_07_27.json
295,map,yukina-lt-siauliai,Šiauliai,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,12,12,snapshot_2026_07_27.json
