rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
43,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,988,988,snapshot_2026_07_27.json
44,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,984,984,snapshot_2026_07_27.json
45,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,981,981,snapshot_2026_07_27.json
46,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,969,969,snapshot_2026_07_27.json
47,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,912,912,snapshot_2026_07_27.json
48,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,905,905,snapshot_2026_07_27.json
49,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,844,844,snapshot_2026_07_27.json
50,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,843,843,snapshot_2026_07_27.json
51,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,830,830,snapshot_2026_07_27.json
52,mod,missed-connections,Missed Connections,rslurry,slurry,https://github.com/rslurry,815,815,snapshot_2026_07_27.json
53,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,794,794,snapshot_2026_07_27.json
54,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,782,782,snapshot_2026_07_27.json
55,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,766,766,snapshot_2026_07_27.json
56,map,opo-pt-metropolitan,"Porto, Portugal",bquelhas,bquelhas,https://github.com/bquelhas,731,731,snapshot_2026_07_27.json
57,map,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,720,720,snapshot_2026_07_27.json
58,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,709,709,snapshot_2026_07_27.json
59,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,705,705,snapshot_2026_07_27.json
60,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,685,685,snapshot_2026_07_27.json
61,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,657,657,snapshot_2026_07_27.json
62,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,655,655,snapshot_2026_07_27.json
63,mod,imb11-moveit,Move It!,IMB11,IMB11,https://github.com/IMB11,640,640,snapshot_2026_07_27.json
64,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,640,640,snapshot_2026_07_27.json
65,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,629,629,snapshot_2026_07_27.json
66,map,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,627,627,snapshot_2026_07_27.json
67,map,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,624,624,snapshot_2026_07_27.json
68,map,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,614,614,snapshot_2026_07_27.json
69,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,612,612,snapshot_2026_07_27.json
70,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,606,606,snapshot_2026_07_27.json
71,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,605,605,snapshot_2026_07_27.json
72,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,605,605,snapshot_2026_07_27.json
73,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,574,574,snapshot_2026_07_27.json
74,map,paris-ile-de-france,Paris,pierreggt,pierreggt,https://github.com/pierreggt,568,568,snapshot_2026_07_27.json
75,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,561,561,snapshot_2026_07_27.json
76,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,558,558,snapshot_2026_07_27.json
77,map,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,537,537,snapshot_2026_07_27.json
78,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,517,517,snapshot_2026_07_27.json
79,map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,514,514,snapshot_2026_07_27.json
80,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,511,511,snapshot_2026_07_27.json
81,map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,504,504,snapshot_2026_07_27.json
82,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,492,492,snapshot_2026_07_27.json
83,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,466,466,snapshot_2026_07_27.json
