listing_type,id,name,author,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30
map,sacramento,Sacramento,soccerjonj,soccerjonj/sacramento,Sacramento,58,10,3,1,5,2,0,1,4,3,0,4,3,5,0,3,5,4,0,0,5
map,orange-county,Orange County,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,56,15,6,4,6,8,1,0,1,2,0,1,2,1,0,0,2,2,0,0,5
map,richmond,Richmond,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,56,17,1,3,3,4,2,1,3,2,0,4,2,2,0,2,1,2,0,0,7
map,bari,Bari,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,55,0,0,0,0,0,0,0,41,3,0,0,0,0,0,0,1,2,1,0,7
map,mfn-northwestar,Northwest Arkansas,crumpetime,crumpetime/sb-maps-xna,sb-maps-xna,55,3,4,4,7,4,4,1,2,3,0,2,4,4,0,4,3,3,0,0,3
map,cairo,Cairo,ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,10,5,0,14
map,albany,Albany,soccerjonj,soccerjonj/albany,Albany,53,0,0,0,0,0,0,0,4,11,2,10,4,7,0,4,4,5,0,0,2
map,mfn-lasvegas,Las Vegas,crumpetime,crumpetime/sb-maps-las,sb-maps-las,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,8,5,0,10
map,yukina-hakodate,函館 (Hakodate),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,52,0,0,0,0,4,7,1,2,3,1,2,1,2,0,1,6,5,2,0,15
map,yukina-nagoya,名古屋 (Nagoya),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,22
map,nashville,Nashville,soccerjonj,soccerjonj/nashville,Nashville,50,8,1,0,0,0,0,3,5,3,0,5,2,6,0,2,5,3,2,0,5
map,rochester,Rochester,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,50,13,3,1,5,3,1,0,3,3,0,3,3,1,0,1,1,5,0,0,4
map,jacksonville,Jacksonville,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,48,18,3,0,4,3,1,0,2,4,0,2,0,2,0,1,1,4,0,0,3
map,florence,Florence,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,47,8,4,0,5,4,0,0,0,2,0,5,0,1,0,2,6,3,0,0,7
map,greater-baltimore,Greater Baltimore,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,45,9,2,0,6,4,0,3,0,3,2,2,1,3,0,1,1,2,1,0,5
map,genoa,Genoa,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,44,0,0,0,0,0,0,0,28,3,0,0,0,0,0,1,3,2,1,0,6
map,bologna,Bologna,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,41,11,3,1,4,4,0,0,0,0,0,1,0,0,0,0,5,4,0,0,8
map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,41,0,0,0,0,4,8,0,1,3,0,3,1,1,0,1,5,2,1,0,11
map,turin,Turin,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,40,6,3,1,1,2,1,0,0,3,0,2,0,1,0,1,6,4,2,0,7
map,catania,Catania,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,39,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,1,1,0,0,5
map,trondheim-val,Trondheim,Valdotorium,valdotorium/railyard-maps-2,Railyard-Maps-2,39,0,0,0,0,0,0,2,1,4,0,1,0,2,0,3,4,3,0,3,16
map,orlando,Orlando,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,36,0,0,0,0,0,0,0,0,0,4,5,3,6,0,2,5,4,0,0,7
map,san-juan,San Juan,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,36,0,0,0,0,0,0,0,0,0,0,5,5,4,2,2,3,4,1,2,8
map,yukina-toyama,富山 (Toyama),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,34,0,0,0,0,4,5,1,3,3,1,2,0,1,0,0,3,3,1,0,7
map,memphis,Memphis,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,32,8,2,0,5,5,0,0,0,2,0,0,1,1,0,0,0,2,0,0,6
map,santa-barbara,Santa Barbara,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,32,0,0,5,5,4,0,0,0,1,1,2,0,2,0,0,3,2,0,0,7
map,spokane,Spokane,ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,16
map,yukina-nakaumi,中海 (Nakaumi),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,28,0,0,0,0,4,5,1,2,3,0,2,0,1,0,0,2,2,1,0,5
map,garda-lake,Garda Lake,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,26,0,0,0,0,0,0,0,6,6,0,1,0,0,0,1,4,2,0,0,6
map,palermo,Palermo,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,26,5,2,1,3,3,0,0,0,2,0,0,0,0,0,0,1,4,1,0,4
map,pianura-veneta,Pianura Veneta,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,3,0,8
map,knoxville,Knoxville,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,24,9,2,0,4,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2
map,piedmont-triad,Piedmont Triad,PSWBSF,pswbsf/piedmont-triad,piedmont-triad,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,11
map,yukina-takamatsu,高松 (Takamatsu),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,20,0,0,0,0,4,2,0,0,2,0,0,0,0,0,1,4,2,1,0,4
map,pianura-emiliana,Pianura Emiliana,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,5
map,san-antonio,San Antonio,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,16,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,6,1,0,0,2
map,yukina-okayama,岡山 (Okayama),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,1,0,4
map,riviera-romagnola,Riviera Romagnola,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,14,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,1,0,5
map,wilmington-nc,"Wilmington, NC",PSWBSF,pswbsf/wilmington-nc,wilmington-nc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
