rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,117,116,1,1961,1961,50278,50278,48317,48317,snapshot_2026_09_06.json,snapshot_2026_08_30.json
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,1456,1456,6665,6665,5209,5209,snapshot_2026_09_06.json,snapshot_2026_08_30.json
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,448,448,11019,11019,10571,10571,snapshot_2026_09_06.json,snapshot_2026_08_30.json
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,401,401,14145,14145,13744,13744,snapshot_2026_09_06.json,snapshot_2026_08_30.json
5,martig7,martig7,https://github.com/martig7,2,0,2,360,360,9882,9882,9522,9522,snapshot_2026_09_06.json,snapshot_2026_08_30.json
6,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,345,345,13040,13040,12695,12695,snapshot_2026_09_06.json,snapshot_2026_08_30.json
7,rslurry,slurry,https://github.com/rslurry,35,33,2,248,248,21853,21853,21605,21605,snapshot_2026_09_06.json,snapshot_2026_08_30.json
8,devenperez,devenperez,https://github.com/devenperez,8,8,0,241,241,10842,10842,10601,10601,snapshot_2026_09_06.json,snapshot_2026_08_30.json
9,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,225,225,9521,9521,9296,9296,snapshot_2026_09_06.json,snapshot_2026_08_30.json
10,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,207,207,439,439,232,232,snapshot_2026_09_06.json,snapshot_2026_08_30.json
11,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,196,196,10315,10315,10119,10119,snapshot_2026_09_06.json,snapshot_2026_08_30.json
12,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,195,195,6568,6568,6373,6373,snapshot_2026_09_06.json,snapshot_2026_08_30.json
13,nzh0172,naz,https://github.com/nzh0172,8,5,3,192,192,6900,6900,6708,6708,snapshot_2026_09_06.json,snapshot_2026_08_30.json
14,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,170,170,2461,2461,2291,2291,snapshot_2026_09_06.json,snapshot_2026_08_30.json
15,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,169,169,1122,1122,953,953,snapshot_2026_09_06.json,snapshot_2026_08_30.json
16,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,166,166,1774,1774,1608,1608,snapshot_2026_09_06.json,snapshot_2026_08_30.json
17,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,126,126,1732,1732,1606,1606,snapshot_2026_09_06.json,snapshot_2026_08_30.json
18,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,116,116,3904,3904,3788,3788,snapshot_2026_09_06.json,snapshot_2026_08_30.json
19,pendulating,pendulating,https://github.com/pendulating,1,0,1,115,115,2121,2121,2006,2006,snapshot_2026_09_06.json,snapshot_2026_08_30.json
20,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,74,74,3841,3841,3767,3767,snapshot_2026_09_06.json,snapshot_2026_08_30.json
21,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,2,0,2,74,74,74,74,0,0,snapshot_2026_09_06.json,snapshot_2026_08_30.json
22,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,72,72,147,147,75,75,snapshot_2026_09_06.json,snapshot_2026_08_30.json
23,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,68,68,3663,3663,3595,3595,snapshot_2026_09_06.json,snapshot_2026_08_30.json
24,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,67,67,4372,4372,4305,4305,snapshot_2026_09_06.json,snapshot_2026_08_30.json
25,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,67,67,201,201,134,134,snapshot_2026_09_06.json,snapshot_2026_08_30.json
26,jelegend,jelegend,https://github.com/jelegend,1,1,0,53,53,3754,3754,3701,3701,snapshot_2026_09_06.json,snapshot_2026_08_30.json
27,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,51,51,1869,1869,1818,1818,snapshot_2026_09_06.json,snapshot_2026_08_30.json
28,kimth9,kimth9,https://github.com/kimth9,20,19,1,50,50,8535,8535,8485,8485,snapshot_2026_09_06.json,snapshot_2026_08_30.json
29,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,48,48,2759,2759,2711,2711,snapshot_2026_09_06.json,snapshot_2026_08_30.json
30,cromstar,cromstar,https://github.com/cromstar,1,1,0,42,42,348,348,306,306,snapshot_2026_09_06.json,snapshot_2026_08_30.json
31,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,41,41,2576,2576,2535,2535,snapshot_2026_09_06.json,snapshot_2026_08_30.json
32,arniber21,arniber21,https://github.com/arniber21,1,0,1,39,39,238,238,199,199,snapshot_2026_09_06.json,snapshot_2026_08_30.json
33,bean1322,bean1322,https://github.com/bean1322,2,2,0,36,36,199,199,163,163,snapshot_2026_09_06.json,snapshot_2026_08_30.json
34,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,35,35,176,176,141,141,snapshot_2026_09_06.json,snapshot_2026_08_30.json
35,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,34,34,1495,1495,1461,1461,snapshot_2026_09_06.json,snapshot_2026_08_30.json
36,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,28,28,1022,1022,994,994,snapshot_2026_09_06.json,snapshot_2026_08_30.json
37,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,26,26,1334,1334,1308,1308,snapshot_2026_09_06.json,snapshot_2026_08_30.json
38,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,18,18,165,165,147,147,snapshot_2026_09_06.json,snapshot_2026_08_30.json
39,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,1,1,0,16,16,603,603,587,587,snapshot_2026_09_06.json,snapshot_2026_08_30.json
40,giannons46,giannons46,https://github.com/giannons46,1,1,0,16,16,165,165,149,149,snapshot_2026_09_06.json,snapshot_2026_08_30.json
41,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,15,15,290,290,275,275,snapshot_2026_09_06.json,snapshot_2026_08_30.json
42,hernang87,hernang87,https://github.com/hernang87,1,1,0,10,10,140,140,130,130,snapshot_2026_09_06.json,snapshot_2026_08_30.json
43,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,8,8,236,236,228,228,snapshot_2026_09_06.json,snapshot_2026_08_30.json
44,JcPires,JcPires,https://github.com/JcPires,1,1,0,8,8,91,91,83,83,snapshot_2026_09_06.json,snapshot_2026_08_30.json
45,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,7,7,116,116,109,109,snapshot_2026_09_06.json,snapshot_2026_08_30.json
46,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,6,6,360,360,354,354,snapshot_2026_09_06.json,snapshot_2026_08_30.json
47,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,5,5,143,143,138,138,snapshot_2026_09_06.json,snapshot_2026_08_30.json
48,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,3,3,212,212,209,209,snapshot_2026_09_06.json,snapshot_2026_08_30.json
49,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,2,2,313,313,311,311,snapshot_2026_09_06.json,snapshot_2026_08_30.json
50,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,0,0,14278,14278,14278,14278,snapshot_2026_09_06.json,snapshot_2026_08_30.json
51,IMB11,IMB11,https://github.com/IMB11,2,0,2,0,0,1288,1288,1288,1288,snapshot_2026_09_06.json,snapshot_2026_08_30.json
52,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,0,0,379,379,379,379,snapshot_2026_09_06.json,snapshot_2026_08_30.json
53,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,0,0,268,268,268,268,snapshot_2026_09_06.json,snapshot_2026_08_30.json
54,matematysek,matematysek,https://github.com/matematysek,1,0,1,0,0,23,23,23,23,snapshot_2026_09_06.json,snapshot_2026_08_30.json
55,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2,0,2,0,0,0,0,0,0,snapshot_2026_09_06.json,snapshot_2026_08_30.json
