rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,117,116,1,19992,19992,50278,50278,30286,30286,snapshot_2026_09_06.json,snapshot_2026_08_07.json
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,4111,4111,6665,6665,2554,2554,snapshot_2026_09_06.json,snapshot_2026_08_07.json
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,2947,2947,11019,11019,8072,8072,snapshot_2026_09_06.json,snapshot_2026_08_07.json
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,2430,2430,14145,14145,11715,11715,snapshot_2026_09_06.json,snapshot_2026_08_07.json
5,martig7,martig7,https://github.com/martig7,2,0,2,2399,2399,9882,9882,7483,7483,snapshot_2026_09_06.json,snapshot_2026_08_07.json
6,rslurry,slurry,https://github.com/rslurry,35,33,2,2194,2194,21853,21853,19659,19659,snapshot_2026_09_06.json,snapshot_2026_08_07.json
7,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,1932,1932,13040,13040,11108,11108,snapshot_2026_09_06.json,snapshot_2026_08_07.json
8,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,1795,1795,10315,10315,8520,8520,snapshot_2026_09_06.json,snapshot_2026_08_07.json
9,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,1571,1571,14278,14278,12707,12707,snapshot_2026_09_06.json,snapshot_2026_08_07.json
10,devenperez,devenperez,https://github.com/devenperez,8,8,0,1296,1296,10842,10842,9546,9546,snapshot_2026_09_06.json,snapshot_2026_08_07.json
11,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,1205,1205,9521,9521,8316,8316,snapshot_2026_09_06.json,snapshot_2026_08_07.json
12,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,1177,1177,6568,6568,5391,5391,snapshot_2026_09_06.json,snapshot_2026_08_07.json
13,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,997,997,2461,2461,1464,1464,snapshot_2026_09_06.json,snapshot_2026_08_07.json
14,nzh0172,naz,https://github.com/nzh0172,8,5,3,993,993,6900,6900,5907,5907,snapshot_2026_09_06.json,snapshot_2026_08_07.json
15,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,811,811,1122,1122,311,311,snapshot_2026_09_06.json,snapshot_2026_08_07.json
