rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
31,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,ESBC,ES,4073925,124371,6117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,YYZ,CA,4039647,33650,11203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,HKG,HK,4038323,236084,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,BER,DE,3926141,39805,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FOKK,JP,3791749,84405,32900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,PUS4,KR,3762661,44668,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,GNYC,US,3735824,269793,5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,PUS3,KR,3602364,43343,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,yukina-tw-southern-taiwan,南臺灣 (Southern Taiwan),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,NTW,TW,3321757,64592,19774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,LAXM,US,3202061,76804,4034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,SYD,AU,3176499,25580,9687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,sejong-4,Sejong (40km×40km),kimth9,kimth9,https://github.com/kimth9,SEJ4,KR,3144215,46497,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,DXB,AE,3105983,195806,11715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,GLED,GB,3069560,47377,12148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,TIJ,MX,3069230,133992,6022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,monterrey,Monterrey,rslurry,slurry,https://github.com/rslurry,MTY,MX,3002098,62388,6558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,ankara,Ankara,pierreggt,pierreggt,https://github.com/pierreggt,ANK,TR,2854650,27325,15702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,GDL,MX,2824978,59632,5838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,MIL,IT,2677197,23484,10146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,RMQ,TW,2605157,48398,15416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
