rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,89,88,1,1744,1744,25781,25781,24037,24037,snapshot_2026_07_28.json,snapshot_2026_07_25.json
2,rslurry,slurry,https://github.com/rslurry,35,33,2,778,778,18069,18069,17291,17291,snapshot_2026_07_28.json,snapshot_2026_07_25.json
3,martig7,martig7,https://github.com/martig7,2,0,2,766,766,6211,6211,5445,5445,snapshot_2026_07_28.json,snapshot_2026_07_25.json
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,743,743,9617,9617,8874,8874,snapshot_2026_07_28.json,snapshot_2026_07_25.json
5,Maximilian284,max02,https://github.com/Maximilian284,19,19,0,703,703,7239,7239,6536,6536,snapshot_2026_07_28.json,snapshot_2026_07_25.json
6,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,634,634,9406,9406,8772,8772,snapshot_2026_07_28.json,snapshot_2026_07_25.json
7,devenperez,devenperez,https://github.com/devenperez,8,8,0,570,570,8511,8511,7941,7941,snapshot_2026_07_28.json,snapshot_2026_07_25.json
8,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,535,535,11072,11072,10537,10537,snapshot_2026_07_28.json,snapshot_2026_07_25.json
9,Kronifer,Kronifer,https://github.com/Kronifer,9,9,0,379,379,7749,7749,7370,7370,snapshot_2026_07_28.json,snapshot_2026_07_25.json
10,pierreggt,pierreggt,https://github.com/pierreggt,14,14,0,353,353,1735,1735,1382,1382,snapshot_2026_07_28.json,snapshot_2026_07_25.json
11,pendulating,pendulating,https://github.com/pendulating,1,0,1,276,276,580,580,304,304,snapshot_2026_07_28.json,snapshot_2026_07_25.json
12,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,262,262,262,262,0,0,snapshot_2026_07_28.json,snapshot_2026_07_25.json
13,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,257,257,4765,4765,4508,4508,snapshot_2026_07_28.json,snapshot_2026_07_25.json
14,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,250,250,925,925,675,675,snapshot_2026_07_28.json,snapshot_2026_07_25.json
15,BarKuperman,BarKuperman,https://github.com/BarKuperman,4,2,2,241,241,5407,5407,5166,5166,snapshot_2026_07_28.json,snapshot_2026_07_25.json
16,IMB11,IMB11,https://github.com/IMB11,2,0,2,239,239,800,800,561,561,snapshot_2026_07_28.json,snapshot_2026_07_25.json
