rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,59,616,616,18259,18259,17643,17643,snapshot_2026_09_05.json,snapshot_2026_09_02.json
2,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,373,373,955,955,582,582,snapshot_2026_09_05.json,snapshot_2026_09_02.json
3,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,225,225,22282,22282,22057,22057,snapshot_2026_09_05.json,snapshot_2026_09_02.json
4,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,175,175,3840,3840,3665,3665,snapshot_2026_09_05.json,snapshot_2026_09_02.json
5,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,130,130,10842,10842,10712,10712,snapshot_2026_09_05.json,snapshot_2026_09_02.json
6,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,113,113,4011,4011,3898,3898,snapshot_2026_09_05.json,snapshot_2026_09_02.json
7,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,94,94,8004,8004,7910,7910,snapshot_2026_09_05.json,snapshot_2026_09_02.json
8,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,93,93,5307,5307,5214,5214,snapshot_2026_09_05.json,snapshot_2026_09_02.json
9,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,84,84,19792,19792,19708,19708,snapshot_2026_09_05.json,snapshot_2026_09_02.json
10,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,80,80,5871,5871,5791,5791,snapshot_2026_09_05.json,snapshot_2026_09_02.json
11,rexmhall09/subway-builder-performance-mod,Subway-Builder-Performance-Mod,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,74,74,1122,1122,1048,1048,snapshot_2026_09_05.json,snapshot_2026_09_02.json
12,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,73,73,5255,5255,5182,5182,snapshot_2026_09_05.json,snapshot_2026_09_02.json
13,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,73,73,2306,2306,2233,2233,snapshot_2026_09_05.json,snapshot_2026_09_02.json
14,rmerr1/sb-vienna-map,sb-vienna-map,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,72,72,439,439,367,367,snapshot_2026_09_05.json,snapshot_2026_09_02.json
15,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,6,69,69,6319,6319,6250,6250,snapshot_2026_09_05.json,snapshot_2026_09_02.json
16,roquerodrigo/subway-builder-auto-lines,subway-builder-auto-lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,66,66,1323,1323,1257,1257,snapshot_2026_09_05.json,snapshot_2026_09_02.json
17,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,57,57,4749,4749,4692,4692,snapshot_2026_09_05.json,snapshot_2026_09_02.json
18,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,57,57,4482,4482,4425,4425,snapshot_2026_09_05.json,snapshot_2026_09_02.json
19,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,55,55,5097,5097,5042,5042,snapshot_2026_09_05.json,snapshot_2026_09_02.json
20,pierreggt/subwaybuilder-maps,subwaybuilder-maps,pierreggt,pierreggt,https://github.com/pierreggt,16,55,55,638,638,583,583,snapshot_2026_09_05.json,snapshot_2026_09_02.json
21,danield1909/dantrains-abridged,dantrains-abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,54,54,715,715,661,661,snapshot_2026_09_05.json,snapshot_2026_09_02.json
22,pendulating/neighborhood-station-names,neighborhood-station-names,pendulating,pendulating,https://github.com/pendulating,1,53,53,2121,2121,2068,2068,snapshot_2026_09_05.json,snapshot_2026_09_02.json
23,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,48,48,4772,4772,4724,4724,snapshot_2026_09_05.json,snapshot_2026_09_02.json
24,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,47,47,2842,2842,2795,2795,snapshot_2026_09_05.json,snapshot_2026_09_02.json
25,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,47,47,2269,2269,2222,2222,snapshot_2026_09_05.json,snapshot_2026_09_02.json
26,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,41,41,3735,3735,3694,3694,snapshot_2026_09_05.json,snapshot_2026_09_02.json
27,xoaninc/madrid-transit-pack,madrid-transit-pack,xoaninc,xoaninc,https://github.com/xoaninc,1,41,41,147,147,106,106,snapshot_2026_09_05.json,snapshot_2026_09_02.json
28,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,39,39,1812,1812,1773,1773,snapshot_2026_09_05.json,snapshot_2026_09_02.json
29,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,38,38,2471,2471,2433,2433,snapshot_2026_09_05.json,snapshot_2026_09_02.json
30,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,37,37,3164,3164,3127,3127,snapshot_2026_09_05.json,snapshot_2026_09_02.json
31,rslurry/subwaybuilder-missedconnections,subwaybuilder-missedConnections,rslurry,slurry,https://github.com/rslurry,1,37,37,1837,1837,1800,1800,snapshot_2026_09_05.json,snapshot_2026_09_02.json
32,noahgarrf/great-society-subway-train,Great-Society-Subway-Train,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,37,37,60,60,23,23,snapshot_2026_09_05.json,snapshot_2026_09_02.json
33,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,30,30,3663,3663,3633,3633,snapshot_2026_09_05.json,snapshot_2026_09_02.json
34,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,28,28,4372,4372,4344,4344,snapshot_2026_09_05.json,snapshot_2026_09_02.json
35,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,28,28,2422,2422,2394,2394,snapshot_2026_09_05.json,snapshot_2026_09_02.json
36,prodigious-penguin/penguin-approved-rolling-stock,Penguin-Approved-Rolling-Stock,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,28,28,201,201,173,173,snapshot_2026_09_05.json,snapshot_2026_09_02.json
37,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,27,27,2512,2512,2485,2485,snapshot_2026_09_05.json,snapshot_2026_09_02.json
38,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,26,26,8108,8108,8082,8082,snapshot_2026_09_05.json,snapshot_2026_09_02.json
39,seanyushoumori/scrollable-dropdowns,scrollable-dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,24,24,1675,1675,1651,1651,snapshot_2026_09_05.json,snapshot_2026_09_02.json
40,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,24,24,985,985,961,961,snapshot_2026_09_05.json,snapshot_2026_09_02.json
41,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,23,23,2759,2759,2736,2736,snapshot_2026_09_05.json,snapshot_2026_09_02.json
42,pierreggt/subway-builder-istanbul,subway-builder-istanbul,pierreggt,pierreggt,https://github.com/pierreggt,1,23,23,474,474,451,451,snapshot_2026_09_05.json,snapshot_2026_09_02.json
43,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,22,22,1869,1869,1847,1847,snapshot_2026_09_05.json,snapshot_2026_09_02.json
44,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,21,21,3003,3003,2982,2982,snapshot_2026_09_05.json,snapshot_2026_09_02.json
45,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,20,20,245,245,225,225,snapshot_2026_09_05.json,snapshot_2026_09_02.json
46,arniber21/dantrains-abridged,dantrains-abridged,arniber21,arniber21,https://github.com/arniber21,1,20,20,238,238,218,218,snapshot_2026_09_05.json,snapshot_2026_09_02.json
47,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,19,19,3754,3754,3735,3735,snapshot_2026_09_05.json,snapshot_2026_09_02.json
48,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,19,19,2576,2576,2557,2557,snapshot_2026_09_05.json,snapshot_2026_09_02.json
49,cromstar/subwaybuilder-seoul-map,subwaybuilder-seoul-map,cromstar,cromstar,https://github.com/cromstar,1,19,19,348,348,329,329,snapshot_2026_09_05.json,snapshot_2026_09_02.json
50,roquerodrigo/subway-builder-map-markers,subway-builder-map-markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,17,17,1138,1138,1121,1121,snapshot_2026_09_05.json,snapshot_2026_09_02.json
51,danielloong714/intercity-hsr-trains,intercity-hsr-trains,danielloong714,danielloong714,https://github.com/danielloong714,1,16,16,176,176,160,160,snapshot_2026_09_05.json,snapshot_2026_09_02.json
52,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,13,13,2163,2163,2150,2150,snapshot_2026_09_05.json,snapshot_2026_09_02.json
