rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,52,144,144,11800,11800,11656,11656,snapshot_2026_08_17.json,snapshot_2026_08_16.json
2,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,94,94,17751,17751,17657,17657,snapshot_2026_08_17.json,snapshot_2026_08_16.json
3,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,35,35,3360,3360,3325,3325,snapshot_2026_08_17.json,snapshot_2026_08_16.json
4,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,6,26,26,5601,5601,5575,5575,snapshot_2026_08_17.json,snapshot_2026_08_16.json
5,pierreggt/subway-builder-paris,subway-builder-paris,pierreggt,pierreggt,https://github.com/pierreggt,1,23,23,1413,1413,1390,1390,snapshot_2026_08_17.json,snapshot_2026_08_16.json
6,kaicardenas0618/subway-builder-peru,subway-builder-peru,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,9,18,18,1665,1665,1647,1647,snapshot_2026_08_17.json,snapshot_2026_08_16.json
7,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,17,17,13651,13651,13634,13634,snapshot_2026_08_17.json,snapshot_2026_08_16.json
8,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,14,14,3354,3354,3340,3340,snapshot_2026_08_17.json,snapshot_2026_08_16.json
9,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,13,13,7391,7391,7378,7378,snapshot_2026_08_17.json,snapshot_2026_08_16.json
10,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,12,12,4707,4707,4695,4695,snapshot_2026_08_17.json,snapshot_2026_08_16.json
11,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,10,10,4715,4715,4705,4705,snapshot_2026_08_17.json,snapshot_2026_08_16.json
12,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,10,10,1749,1749,1739,1739,snapshot_2026_08_17.json,snapshot_2026_08_16.json
13,pierreggt/subway-builder-marseille,subway-builder-marseille,pierreggt,pierreggt,https://github.com/pierreggt,1,10,10,284,284,274,274,snapshot_2026_08_17.json,snapshot_2026_08_16.json
14,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,9,9,4602,4602,4593,4593,snapshot_2026_08_17.json,snapshot_2026_08_16.json
15,pendulating/neighborhood-station-names,neighborhood-station-names,pendulating,pendulating,https://github.com/pendulating,1,9,9,1703,1703,1694,1694,snapshot_2026_08_17.json,snapshot_2026_08_16.json
16,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,8,8,878,878,870,870,snapshot_2026_08_17.json,snapshot_2026_08_16.json
17,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,7,7,10014,10014,10007,10007,snapshot_2026_08_17.json,snapshot_2026_08_16.json
18,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,7,7,5306,5306,5299,5299,snapshot_2026_08_17.json,snapshot_2026_08_16.json
19,rslurry/subwaybuilder-missedconnections,subwaybuilder-missedConnections,rslurry,slurry,https://github.com/rslurry,1,7,7,1551,1551,1544,1544,snapshot_2026_08_17.json,snapshot_2026_08_16.json
20,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,6,6,4070,4070,4064,4064,snapshot_2026_08_17.json,snapshot_2026_08_16.json
21,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,6,6,2204,2204,2198,2198,snapshot_2026_08_17.json,snapshot_2026_08_16.json
22,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,5,5,18874,18874,18869,18869,snapshot_2026_08_17.json,snapshot_2026_08_16.json
23,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,5,5,3399,3399,3394,3394,snapshot_2026_08_17.json,snapshot_2026_08_16.json
24,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,5,5,2562,2562,2557,2557,snapshot_2026_08_17.json,snapshot_2026_08_16.json
